VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
a37dd7c4-8bb6-3065-b51d-6ace91540be2,SEAMAX STRATFORD,538007698,9305491.0,V7EP2,CONTAINER,334.0,42.0,245.0,89.0,26.0,16.0,91649.0
a3faf129-146c-3fb6-a2d3-0fff15ff7511,HMM MIR,636020615,9869198.0,D5ZZ8,CONTAINER,366.0,51.0,112.0,254.0,18.0,33.0,152003.0
a429d66d-a244-3fbc-8184-ccbbe6fc3b28,YM TRAVEL,352986159,9878503.0,3E3913,CONTAINER,333.0,48.0,130.0,203.0,28.0,20.0,118523.0
a464a42e-3418-3ae0-9648-70bdd10bd084,MSC AAYA,636021770,9927263.0,5LFP3,CONTAINER,366.0,51.0,110.0,256.0,30.0,21.0,150783.0
a4d6595b-0851-3f9d-84a6-19767185e7e2,VALOR,229458000,9628154.0,9HA3347,CONTAINER,300.0,48.0,224.0,76.0,15.0,33.0,95390.0
a4db65bc-e7f2-3148-bf77-c19792c5f954,CORNELIUS MAERSK,219031427,9198587.0,OUMO2,CONTAINER,347.0,42.0,244.0,103.0,21.0,21.0,92198.0
a57f463e-d486-3879-aafc-91e679dc459b,ONE TRUST,538007378,9769283.0,V7LF7,CONTAINER,400.0,59.0,143.0,257.0,25.0,34.0,210678.0
a5889273-a354-3246-9829-39251acd0f23,OOCL TOKYO,477607700,9310238.0,VRCI9,CONTAINER,323.0,43.0,247.0,76.0,32.0,11.0,89097.0
a5caa906-27a2-3987-b024-e6987169a78f,WAN HAI 501,563382000,9294848.0,S6AS7,CONTAINER,269.0,32.0,207.0,62.0,30.0,2.0,42579.0
a62e3620-2c27-3fd9-8461-709d16f437a0,ZIM SAMMY OFER,477871500,9931094.0,VRUX7,CONTAINER,366.0,51.0,111.0,255.0,21.0,30.0,152204.0
a7143801-0f2c-3d2c-82d0-7dec182a3afb,CAPE FERROL,538003221,9359325.0,V7PF6,CONTAINER,170.0,25.0,155.0,15.0,13.0,12.0,15995.0
a718d3db-9118-352f-b2cb-7a1dd5b38983,ADAMS,636015952,9260914.0,D5DR5,CONTAINER,280.0,40.0,211.0,69.0,17.0,23.0,66462.0
a74820e2-58c1-3ceb-881f-3255efdcc33d,APL CHONGQING,566318000,9461867.0,9V9373,CONTAINER,349.0,45.0,259.0,90.0,31.0,14.0,113735.0
a7829382-f337-3695-b374-177e39d60c6d,EVER FAVOR,636021387,9850850.0,5LDS2,CONTAINER,334.0,48.0,135.0,199.0,29.0,19.0,116295.0
a804036f-9377-3242-a11d-1b76dfa0dcec,SITC PINGHE,477867100,9943592.0,VRVA5,CONTAINER,147.0,24.0,115.0,32.0,17.0,7.0,9950.0
a823d8b7-8cfd-331b-8147-4f7d4f1bccaf,MAERSK ENSHI,355288000,9502946.0,3FIL,CONTAINER,366.0,48.0,142.0,224.0,14.0,34.0,141754.0
