,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
45,부산,170023,세주신광,2022,94,최종,내항,입항,"5,310",2022-09-01 06:00,2022-09-01 20:00,,2022-09-01 13:12,기타,,MB7,05,우암부두 75선석,제주,제주,일반화물선,7.0,7.0,13.0,N,N,,
46,부산,3EUK,CITRINE,2022,8,최종,외항,출항,"5,372",2022-09-01 07:30,2022-09-01 19:05,2022-09-01 18:30,2022-09-05 15:07,기타,22KRMSK229E,MB7,03,7부두 73선석,VLADIVOSTOK,VLADIVOSTOK,일반화물선,,15.0,,Y,Y,,
47,부산,3EUK,CITRINE,2022,8,최종,외항,입항,"5,372",2022-09-01 07:30,2022-09-01 19:05,2022-09-01 08:00,2022-09-05 14:49,기타,22KRMSK229I,MB7,03,7부두 73선석,VLADIVOSTOK,VLADIVOSTOK,일반화물선,,15.0,,Y,Y,,
48,부산,BKTD4,BAO HONG 8,2022,1,최종,외항,입항,"4,517",2022-09-01 10:00,2022-09-02 15:35,2022-09-01 10:30,2022-09-05 09:17,기타,22SHSBM207I,MB8,05,8부두 85선석,MIZUSHIMA,KAOHSIUNG,일반화물선,,15.0,,Y,Y,,
49,부산,BKTD4,BAO HONG 8,2022,1,최종,외항,출항,"4,517",2022-09-01 10:00,2022-09-02 15:35,2022-09-02 15:15,2022-09-05 10:20,기타,22SHSBM208E,MB8,05,8부두 85선석,MIZUSHIMA,KAOHSIUNG,일반화물선,,15.0,,Y,Y,,
50,인천,V3BR3,YORK 27,2022,1,최종,외항,출항,"8,638",2022-09-01 11:48,2022-09-01 16:00,2022-09-01 14:00,2022-09-02 14:20,기타,22INCSD045E,WAW,12,W박지 W12,SHIDAO PT,SHIDAO PT,일반화물선,,15.0,,Y,Y,,
51,인천,V3BR3,YORK 27,2022,1,최종,외항,입항,"8,638",2022-09-01 11:48,2022-09-01 16:00,2022-09-01 12:00,2022-09-02 14:19,기타,22INCSA045I,WAW,12,W박지 W12,OTHERS,SHIDAO PT,일반화물선,,17.0,,Y,Y,,
52,부산,3EWR7,ST BLISS,2022,9,최종,외항,출항,"1,972",2022-09-01 13:10,2022-09-01 16:00,2022-09-01 15:30,2022-09-22 09:49,기타,22STSMD050E,WAN,02,남외항 N-2박지,포항,FUNABASHI,일반화물선,2.0,11.0,,N,N,,
53,부산,3EWR7,ST BLISS,2022,9,최종,외항,입항,"1,972",2022-09-01 13:10,2022-09-01 16:00,2022-09-01 13:40,2022-09-22 09:48,기타,22STSMA050I,WAN,02,남외항 N-2박지,평택.당진,FUNABASHI,일반화물선,2.0,11.0,,N,N,,
54,부산,161001,제11쌍용,2022,14,최종,내항,출항,"1,117",2022-09-01 15:05,2022-09-01 17:45,,2022-09-13 17:17,기타,,MB5,01,5부두 51선석(양곡부두),기타항,울산,일반화물선,5.0,4.0,0.0,Y,N,,
55,부산,161001,제11쌍용,2022,14,최종,내항,입항,"1,117",2022-09-01 15:05,2022-09-01 17:45,,2022-09-13 09:06,기타,,MB5,01,5부두 51선석(양곡부두),기타항,울산,일반화물선,5.0,4.0,0.0,Y,N,,
56,인천,5VDQ7,DIMA,2022,3,최종,외항,출항,"4,860",2022-09-01 15:40,2022-09-03 14:10,2022-09-03 12:00,2022-09-05 09:13,기타,22SEAKE014E,MBW,01,북항 아이엔티시부두 1선석,TAICANG,VANINO,일반화물선,,13.0,,Y,Y,,
57,인천,5VDQ7,DIMA,2022,3,최종,외항,입항,"4,860",2022-09-01 15:40,2022-09-03 14:10,2022-09-01 16:00,2022-09-02 09:46,기타,22SEAKS014I,MBW,01,북항 아이엔티시부두 1선석,TAICANG,VANINO,일반화물선,,13.0,,Y,Y,,
58,인천,062928,웨스트 카페리,2022,100,최종,내항,입항,840,2022-09-01 15:50,2022-09-02 11:30,,2022-09-02 10:13,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,4.0,1.0,7.0,N,N,,
59,인천,062928,웨스트 카페리,2022,100,최종,내항,출항,840,2022-09-01 15:50,2022-09-02 11:30,,2022-09-02 13:14,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,4.0,1.0,5.0,N,N,,
