VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
4ba9cef6-bda2-31d9-b80f-f16004d73952,ZHENYUAN070,413465140,0.0,L,GENERAL_CARGO,50.0,16.0,2.0,48.0,6.0,10.0,
4bc522ad-6a1b-318c-835a-b286efc7e7f6,XIN QIN ZHOU,414700000,9523005,BPKF,CONTAINER,255.0,37.0,199,56,13,24,47917
4bce18fd-8972-32fb-b5d0-f99f5af159a0,KOTA DUNIA,565417000,9483475,9V7847,CONTAINER,115.0,21.0,93,22,13,8,6245
4bd5c4f1-c378-37e0-8d49-14e2df87d3a2,MOL EARNEST,351496000,9333840,3EMD3,CONTAINER,294.0,32.0,215,79,21,11,54098
4be298eb-cd5e-32ac-964b-216644106a87,ESTIMA,311000780,9808041,C6DT7,CONTAINER,142.0,23.0,118,24,14,9,9587
4c014506-36e8-3bac-a7a4-f1d7d51a6b72,GANG HONG 22,413377170,0.0,BIAS4,GENERAL_CARGO,139.0,20.0,119,20,12,8,
4c130ac8-2976-3979-b810-1dd4163b7624,ONE HARBOUR,372367000,9302152,3EIQ5,CONTAINER,336.0,46.0,260,76,30,16,98747
4c4e10af-a512-3551-894a-f43fb644617b,MAERSK LIRQUEN,477423500,9526887,VRKB8,CONTAINER,300.0,45.0,226,74,27,18,88237
4cf984dc-aba6-3ece-885a-f6c2f91f4b15,CMA CGM CALLISTO,215192000,9410753,9HA5006,CONTAINER,363.0,46.0,273,90,16,30,131332
4d1cdcac-7dd7-30b5-b6ba-53e497d79301,HONG TAI 229,413706090,0.0,BPAF6,GENERAL_CARGO,166.0,25.0,145.0,21.0,16.0,9.0,
4ddcee27-ec5b-3463-b482-bb6ba5665f2c,OOCL YOKOHAMA,477898700,9329538,VRDB3,CONTAINER,260.0,32.0,198,62,7,25,40168
4dee6997-2337-3c50-9d36-4512c3f1e078,CMA CGM VIRGINIA,215165000,9351139,9HA4990,CONTAINER,294.0,33.0,223,71,22,11,54309
4df2fe44-7d54-3e9c-a8aa-b6cff14def27,YM COSMOS,636018264,9198288,D5OX7,CONTAINER,274.0,40.0,182,92,20,20,64254
4e1694ce-5eb1-3e7f-b22d-6546396c341f,CONTI CONTESSA,256011000,9293806,9HA5658,CONTAINER,334.0,42.0,259,75,21,21,90449
4e27bc10-d1ec-356b-8d56-9050c7fa3cb4,XIN TIAN JIN,413053000,9234343,BPAQ,CONTAINER,280.0,40.0,183,97,25,15,66433
4e2df963-9aeb-3dfa-907d-e31ff49ba255,ST.JOHN,229949000,9634646,9HA3740,CONTAINER,172.0,27.0,154,18,21,6,16889
4e49cb14-7dd3-3a74-84b4-6106452f6abc,ZIM USA,477842400,9945473,VRUN2,CONTAINER,330.0,48.0,109,221,30,18,113828
4e95f409-b5de-3bc9-ad36-66078710f0b3,BAL STAR,351702000,9224350,HPYS,CONTAINER,128.0,20.0,98,30,12,8,7409
4f4fe194-6645-3df7-9ef3-77bb9ee813a0,MAERSK SEOUL,563032900,9306550,9V5632,CONTAINER,332.0,43.0,247,85,21,22,94483
4f74d742-0af5-3363-b36f-cf4efbdf64d9,GLORY SHANGHAI,477181900,9754769,VROS4,CONTAINER,141.0,25.0,109,32,6,19,9952
4f7eefdf-6170-373b-bc0e-fef14ca1ec02,RESOLUTION,308025000,9202780,C6QO7,CONTAINER,136.0,23.0,122,14,20,3,9141
4f90b281-9d7b-3fd0-9492-4de5ca65e383,YM TRUTH,636019983,9860910,D5XC4,CONTAINER,332.0,48.0,109,223,20,28,115761
4fab013c-e8fe-3c41-a8ff-b77bf10b976b,MAERSK CHATTOGRAM,563156700,9761023,9V7929,CONTAINER,186.0,35.0,168,18,8,27,31649
4fbab93a-1053-39a6-8bdc-b517a3ae241b,HANSA OSTERBURG,255806437,9373462,CQEO2,CONTAINER,175.0,27.0,167,8,13,14,18327
4fd29737-c0cb-30ab-919c-f67d212959a1,CO NAGOYA,370320000,9380271,3ESJ8,CONTAINER,260.0,32.0,192,68,16,16,40165
4fe364e7-f7f9-3818-a0d9-097f56ca9727,MSC JASPER VIII,255806034,9466960,CQIP9,CONTAINER,333.0,43.0,257,76,17,26,94407
50206a58-56af-30a3-af28-c591042d4089,NORTHERN JUVENILE,255806037,9450349,CQIQ4,CONTAINER,332.0,42.0,257,75,21,21,94419
50739a3b-b676-3b5c-936a-8b5b7cd578ac,OOCL BUSAN,477007100,9329540,VRDN3,CONTAINER,260.0,32.0,191,69,21,11,40168
509e7cec-49d6-3c4a-b3a7-f84cddb45cb2,TS NANSHA,538010176,9914149,V7A5717,CONTAINER,189.0,32.0,150,39,20,12,27208
50c44807-013e-3289-8790-08d24d87ea3c,HMM LE HAVRE,352260000,9868314,HOLL,CONTAINER,400.0,61.0,132,268,20,41,228283
51ad7b91-47b0-3788-b518-3ee7405cf64a,SAWASDEE PACIFIC,538008834,9879363,V7A2812,CONTAINER,172.0,27.0,132,40,21,6,17500
52039ef2-30bc-30b1-9478-514b1e44e565,NAKSKOV MAERSK,219027748,9885130,OYLZ2,CONTAINER,172.0,32.0,150,22,21,11,26255
521c1710-1fb6-34f9-a60f-66bf5f88eacf,HMM GDANSK,374241000,9863326,3FXA4,CONTAINER,400.0,61.0,132,268,20,41,228283
521e5354-e1ad-3b80-b6a0-214582b3cba4,HENG YU,412953000,9158238.0,BTUV,GENERAL_CARGO,127.0,21.0,116.0,11.0,15.0,6.0,7589.0
527859f1-afab-3c70-808f-14f968b2c123,MERETE MAERSK,219581000,9632064,OWQZ2,CONTAINER,399.0,60.0,146,253,30,30,194849
52a0bf0e-680b-331f-ab08-21b5192584dc,SINOTRANS SHANGHAI,477242600,9633745,VRMK8,CONTAINER,144.0,22.0,117,27,17,5,9930
52be0ef8-3d2f-3c12-8337-a640e2a6d6cc,SUNNY COSMOS,538005520,9691773,V7ER6,CONTAINER,145.0,22.0,112,33,18,4,9988
530f8f07-010e-372d-93b3-8f7a4e1cedf9,PEARL RIVER BRIDGE,356367000,9444986,3FZD7,CONTAINER,172.0,28.0,136,36,20,8,17211
532ec524-1a7a-37c1-ac8a-59598e7cfb37,SCARLET ARROW,232008054,9799903,MBAM4,CONTAINER,143.0,22.0,129,14,18,4,9993
53672850-863b-3e25-ad1c-245429b0bbb0,JIHAIZHIFENG,413266280,0.0,BPRN,GENERAL_CARGO,140.0,20.0,119.0,21.0,12.0,8.0,
53b27b4b-330c-3030-b92a-5b8818f440fe,YM WITNESS,477524100,9704609,VROL6,CONTAINER,368.0,51.0,144,224,31,20,144651
54019173-cc3e-3d70-a15f-b28d802f12e7,MSC KERRY,355218000,9062960,3FJF8,CONTAINER,239.0,32.0,194,45,27,5,37323
541c800c-c161-3039-92b7-243cb6846a9f,HARMONIZED EARTH,636021094,9929247,5LCG3,CONTAINER,146.0,23.0,131,15,16,7,9950
541eb91e-4c7a-35bb-bd09-77ccc421c082,STARSHIP DRACO,538010005,9939292,V7A5451,CONTAINER,172.0,27.0,131,41,21,6,18354
5425ece7-d8cd-35a6-b38b-c79569c3f8ae,MSC MARA,636021470,9932892,5LEB8,CONTAINER,364.0,51.0,111,253,16,35,152165
5431673d-2bd5-3417-9b2b-78634cfd7c85,SEASPAN RAPTOR,477159700,9793911,VRRQ7,CONTAINER,330.0,48.0,113,217,35,13,113828
548c0107-995e-31e1-b717-ff53aed332d2,MSC ANA CAMILA III,636020962,9261827,5LBP2,CONTAINER,208.0,30.0,200,8,18,12,25703
54c9340c-3927-3094-8a45-d52078b71e29,YM PLUM,636018262,9198264,D5OX5,CONTAINER,274.0,40.0,181,93,20,20,64254
553010e0-1f3e-3b7f-80c5-1d99238832bd,SITC GUANGDONG,477855900,9700952,VRNQ6,CONTAINER,172.0,28.0,130,42,20,8,17360
555cb508-1c9a-3fa7-8d92-7f98b910e61a,MAERSK ELBA,219198000,9458078,OYHL2,CONTAINER,366.0,48.0,142,224,33,15,141716
555d3d7a-3522-3456-bea3-166fc63c465f,LILA BHUM,564241000,9143465,S6LX,CONTAINER,136.0,22.0,119,17,9,13,8443
55bbb0e1-25a5-3a98-bc83-06d23edb1862,MSC ELIZABETH III,636020953,9215892,5LBN9,CONTAINER,210.0,30.0,166,44,5,25,26718
55c8c34f-d6f8-365b-a9dd-1ed2e887def3,CCNI ANGOL,636092896,9683867,D5GZ4,CONTAINER,300.0,49.0,227.0,73.0,11.0,38.0,95138
560e2d73-9137-37bd-964d-713ec0e13afb,STARSHIP AQUILA,538007312,9792503,V7IQ5,CONTAINER,172.0,27.0,129.0,43.0,20.0,7.0,18064
5622a45f-9e2e-3e59-b30e-3722ccbdeea5,HANNAH SCHULTE,565222000,9301938,9VEZ2,CONTAINER,210.0,30.0,167.0,43.0,11.0,19.0,26671
56a95bc4-2076-353a-a7f2-dfe4d7b78c25,MSC FEBE,372729000,9839478,3EXK8,CONTAINER,400.0,62.0,128.0,272.0,27.0,35.0,232618
56b7c814-42d4-3ead-ae72-5615100eba37,SITC TIANJIN,355898000,9330575,3EGN,CONTAINER,145.0,22.0,119.0,26.0,14.0,8.0,9531
56c43d13-bc4d-3299-bbf8-d003790b37de,SKY AURORA,441632000,9550175.0,DSQN2,GENERAL_CARGO,102.0,18.0,85.0,17.0,10.0,8.0,5500.0
574ed127-afa7-3cca-a3c1-46da9ced0dec,COSCO PORTUGAL,477271400,9516466,VRNI6,CONTAINER,366.0,52.0,142.0,224.0,23.0,29.0,153666
5750eb38-bf87-398a-89bb-a7bfeb53ab9f,KMTC TIANJIN,441933000,9315848,DSMA4,CONTAINER,222.0,30.0,177.0,45.0,21.0,9.0,28927
